index,age,elimination,first_name,hometown,name,name_abbreviation,occupation,season
21,32,1,Micah,"Detroit Lakes, Minnesota",Micah Heisler,Micah H.,Law Student,9
22,28,1,Mike,"London, England",Mike Ryatuk,Mike R.,Dental Student,9
23,26,1,Nick,"Ridgefield, Connecticut",Nick Roy ,Nick R.,Tailor/Magician,9
24,26,1,Jonathan,"Hickory, North Carolina",Jonathan Vollinger ,Jonathan V.,Lawyer,9
0,29,Winner,Josh,"Athens, Georgia",Josh Murray  ,Josh M.,Former Professional Baseball Player,10
1,33,Runner-up,Nick,"Waukesha, Wisconsin",Nick Viall  ,Nick V.,Software Sales Executive,10
2,32,9,Chris,"Lamont, Iowa",Chris Soules ,Chris S.,Farmer,10
3,25,8,Marcus,"Medicine Hat, Alberta",Marcus Grodd ,Marcus G.,Sports Medicine Manager,10
4,27,7,Brian,"Camp Hill, Pennsylvania",Brian Osborne ,Brian O.,Basketball Coach,10
5,26,7,Dylan,"Longmeadow, Massachusetts",Dylan Petitt ,Dylan P.,Accountant,10
6,30,6,J.J.,"Hanover, Massachusetts",J.J. O'Brien  ,J.J. O.,Pantsapreneur,10
7,28,6,Cody,"Oakley, Kansas",Cody Sattler  ,Cody S.,Personal Trainer,10
8,30,5,Andrew,"Portola Valley, California",Andrew Poole ,Andrew P.,Social Media Marketer,10
9,26,5,Marquel,"Rialto, California",Marquel Martin  ,Marquel M.,Sponsorship Salesman,10
10,29,5,Patrick,"Clinton, New Jersey",Patrick Jagodzinski ,Patrick J.,Advertising Executive,10
11,30,4,Tasos,"Denver, Colorado",Tasos Hernandez ,Tasos H.,Wedding Event Coordinator,10
12,31 ,4,Eric,"Citrus Heights, California",Eric Hill    ,Eric H.,Explorer,10
13,32,3,Bradley,"Grosse Pointe, Michigan",Bradley Wisk ,Bradley W.,Opera Singer,10
14,29,3,Brett,"Warminster, Pennsylvania",Brett Melnick   ,Brett M.,Hairstylist,10
15,28,3,Ron,"Nahariya, Israel",Ron Worrell ,Ron W.,Beverage Sales Manager,10
16,30,2,Carl,"Hollywood, California",Carl King ,Carl K.,Firefighter,10
17,29,2,Craig,"Defiance, Iowa",Craig Muhlbauer ,Craig M.,Tax Accountant,10
18,27,2,Nick,"Barrington, Illinois",Nick Sutter ,Nick S.,Professional Golfer,10
19,33,1,Emil,"Portland, Oregon",Emil Schaffroth ,Emil S.,Helicopter Pilot,10
20,35,1,Jason,"Sturgeon Bay, Wisconsin",Jason Leep  ,Jason L.,Urgent Care Physician,10
21,29,1,Josh,"Evergreen, Colorado",Josh Bauer ,Josh B.,Telecommunication Marketer,10
22,29,1,Mike,"Guilderland, New York",Mike Campanelli  ,Mike C.,Bartender,10
23,31,1,Rudie,"Yorba Linda, California",Rudie Dane ,Rudie D.,Attorney,10
24,30,1,Steven,"Meadow Vista, California",Steven Woolworth ,Steven W.,Snowboard Product Developer,10
0,28,Winner,Shawn,"Windsor Locks, Connecticut",Shawn Booth ,Shawn B.,Personal Trainer,11
1,34,Runner Up,Nick,"Waukesha, Wisconsin",Nick Viall  ,Nick V.,Software Sales Executive,11
2,26,8,Ben,"Warsaw, Indiana",Ben Higgins  ,Ben H.,Software Salesman,11
3,26,7,Jared,"Warwick, Rhode Island",Jared Haibon ,Jared H.,Restaurant Manager,11
4,28,7,Joe,"Glasgow, Kentucky",Joe Bailey  ,Joe B.,Insurance Agent,11
5,28,7,Chris,"Granite Bay, California",Chris Strandburg ,Chris S.,Dentist,11
6,26,6,Ben,"Falls Church, Virginia",Ben Zorn  ,Ben Z.,Fitness Coach,11
7,28,6,Tanner,"Stilwell, Kansas",Tanner Tolbert ,Tanner T.,Auto Finance Manager,11
8,32,6,J.J.,"Dacono, Colorado",J.J. Lane III ,J.J. I.,Former Investment Banker,11
9,31,5,Joshua,"Ventura, California",Joshua Albers ,Joshua A.,Industrial Welder,11
10,28,5,Justin,"Elgin, Illinois",Justin Reich ,Justin R.,Fitness Trainer,11
11,28,5,Ian,"Ramsey, New Jersey",Ian Thomson ,Ian T.,Executive Recruiter,11
